id,genre,track_name,artist_name,valence,energy
5NTA3dsB2DlLaSG1KM6RTh,acoustic,The River,Bruce Springsteen,0.594,0.554
6N001s7hglDhXJyjeXeg4F,acoustic,Why Am I Crying,Molly Sandén,0.198,0.346
3uAAl6zPwIVV6tAQ3wMUvS,acoustic,Home,Gabrielle Aplin,0.387,0.264
7D5n2kpYH2WSqIyEO9MeXf,acoustic,Patience,Guns N' Roses,0.372,0.266
6akbXZeXdrWWsG77ZD3cuD,acoustic,Believe,Justin Bieber,0.508,0.847
4FLvG5dzvorjI9USGay9wB,acoustic,Euphoria,Tyler Ward,0.272,0.624
0q4XHZgkjTqIcXAYG42pjY,acoustic,The Edge of Glory,Petie Pizarro,0.333,0.482
53Pgsvu3qSYO2aXt5J2vcL,acoustic,Lego House,Ed Sheeran,0.565,0.637
1SZ63wN0pk18Dr4Epyhcsf,acoustic,Tainted Love,Hannah Peel,0.437,0.192
2APaWLyP3drx0CIodMhKHd,acoustic,Hey Ya!,The Blanks,0.293,0.262
1jJXixRlgZuqWlYwKM94Dz,acoustic,Under löven,Melissa Horn,0.547,0.428
6Pw4WKCH1bfULx3vrxYMwe,acoustic,Moves Like Jagger,Tyler Ward,0.962,0.659
3U9FMzSjrXFS0AnElgcw0j,acoustic,On My Way,Boyce Avenue,0.174,0.564
1nuqzCMgj2lxZCmpdCmIGv,acoustic,A Lack of Color,Various Artists,0.357,0.337
277Q2UaF8FeL7WNWQgzdlk,acoustic,Place To Be,Nick Drake,0.432,0.234
4E6cwWJWZw2zWf7VFbH7wf,acoustic,Love Song,Sara Bareilles,0.573,0.786
6hUScKZXCeLfAhFKnLUdhI,acoustic,Passion Play,William Fitzsimmons,0.11,0.506
4BBFEhlXWJhNvQYT8Ozqq9,acoustic,I Will Be Blessed,Ben Howard,0.336,0.345
5GCgC77m6EaAqu7ZlukMu2,acoustic,Umbrella,Train,0.627,0.849
33e9HtOfO1ye1h8xQ7Foc9,acoustic,The Cave,Mumford & Sons,0.345,0.499
1t4f8fbikeuN6Cp8fVsHx3,acoustic,Fast Car (Live 2012),Boyce Avenue,0.63,0.57
4oBEeMxkuW4t7a8qIupetG,acoustic,Knocking On Heaven's Door,Bill West,0.3,0.278
7vFv0yFGMJW3qVXbAd9BK9,acoustic,Your Body Is a Wonderland,John Mayer,0.687,0.729
1w3ybWVQiP47fu00GRlFHb,acoustic,Old Pine - Spotify - Rockfeedback Session,Ben Howard,0.3,0.334
47YCLbdWctAmEDphy658VD,acoustic,"Jackson - MTV Unplugged, 2012",Florence + The Machine,0.232,0.648
0GNI8K3VATWBABQFAzBAYe,acoustic,Stay,Rihanna,0.125,0.31
6vFUFJzXkbbW2YHWt3tIom,acoustic,Cowboys and Angels - Edit,Various Artists,0.403,0.639
1WbYFNSUNn9fP1x0Z5DU95,acoustic,Riptide,MisterWives,0.362,0.677
0GnGS3Hqq7eg2sjMPwHl1F,acoustic,Shake It Off,Us The Duo,0.273,0.378
6m0qBDIhzICOwWMPZdgyVK,acoustic,Crazy in Love,Daniela Andrade,0.489,0.326
0IUYTmVDq3tmohilYghzt5,afrobeat,Bikowa,Orchestra Baobab,0.792,0.534
5F9xtYevLvP7gg8dmczbQx,afrobeat,Mali Dje,Various Artists,0.694,0.286
